timestamp,course_enrolled,degree_program,first_choice_or_change,interest_more_classes_scale,interest_explanation,interest_explanation,gender,ethnicity,age,Heard_From,Impact_Reasons,Prior_Activities,Computing_Influences
2024/09/09 12:33:58 PM AST,Computing,Engineering,first choice,2.0,Quite difficult and I do not see myself using it in the future ,Quite difficult and I do not see myself using it in the future ,Man,Caucasian,21-24,"CCM Web site, Social Media, Community Event, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (Some Impact), Online offerings (Some Impact), Family/friend referral (Some Impact), College reputation (Some Impact), Accepted my transfer credits (Some Impact), Ability to transfer CCM credits to a 4-year school (High Impact), Get college credit while in high school (Some Impact)","Campus Visit (individual) (Yes), Summer camp at CCM (Yes)","Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming) (Some Impact)"
2024/09/10 12:34:53 PM AST,Computing,Engineering,first choice,3.0,"It all depends on what classes are required for my final semester, but I might not be looking back to this class overall.","It all depends on what classes are required for my final semester, but I might not be looking back to this class overall.",Man,Hispanic,19-20,"CCM Web site, Social Media, Community Event, Family member or friend, High School Teacher, High School Counselor, Billboard, Television","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (High Impact), Online offerings (Some Impact), Family/friend referral (High Impact), Faculty/staff (Some Impact), College reputation (Some Impact), Financial Aid (Some Impact), Scholarships (Some Impact), Extra-curricular opportunities (Some Impact), Accepted my transfer credits (Some Impact), NJ Stars Program (High Impact), Ability to transfer CCM credits to a 4-year school (High Impact)","Open House (Yes), On-Campus Information Session (Yes), Information Session at my high school (Yes), Campus Visit with my high school (Yes), Campus Visit (individual) (Yes)","Middle/High school computing class (High Impact), Middle/High school computing related club (High Impact), High school teacher or guidance counselor (Some Impact), Current CCM student (Some Impact), Experience at work (Some Impact)"
2024/09/10 3:07:28 PM AST,Computing,Undecided,first choice,4.0,I work with Schneider Electric PLC Programming software on a daily basis and some of what I need to learn is based on basic Computer programming language,I work with Schneider Electric PLC Programming software on a daily basis and some of what I need to learn is based on basic Computer programming language,Man,Caucasian,21-24,"CCM Alumni, Employer",,,"Employer influence (High Impact), Experience at work (High Impact)"
2024/09/10 3:07:36 PM AST,Computing,Business Admin,first choice,2.0,This it the only computing class I would need to take to complete my degree.,This it the only computing class I would need to take to complete my degree.,Man,Asian,19-20,"CCM Web site, Social Media, Family member or friend, High School Teacher, High School Counselor","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (High Impact), Online offerings (High Impact), College reputation (Some Impact), Financial Aid (Some Impact), Scholarships (Some Impact), Small class sizes (Some Impact), Accepted my transfer credits (Some Impact), Ability to transfer CCM credits to a 4-year school (High Impact)",,"Middle/High school computing class (Some Impact), Middle/High school computing related club (Some Impact), Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming) (Some Impact), Afterschool computing-related camp/program (Some Impact), Summer computing related camp/program (Some Impact), An AP computing class (Some Impact), A dual enrollment computing class (Some Impact), Family or friend influence (Some Impact), Family or friend working in the computing field (Some Impact), High school teacher or guidance counselor (Some Impact), Employer influence (Some Impact), Current CCM student (Some Impact), Experience at work (Some Impact), Other (Some Impact)"
2024/09/10 3:07:42 PM AST,Computing,Undecided,first choice,3.0,Requeriment,Requeriment,Woman,Asian,19-20,"CCM Web site, Social Media, Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (High Impact), Online offerings (Some Impact), Family/friend referral (Some Impact), Faculty/staff (Some Impact), College reputation (Some Impact), Financial Aid (Some Impact), Scholarships (Some Impact), Small class sizes (Some Impact), Extra-curricular opportunities (Some Impact), Accepted my transfer credits (Some Impact), Ability to transfer CCM credits to a 4-year school (High Impact), Get college credit while in high school (Some Impact)",,
2024/09/10 3:08:18 PM AST,Computing,Engineering,first choice,1.0,it would not really benefit me to take another while there are other classes that i need to take to finish my degree,it would not really benefit me to take another while there are other classes that i need to take to finish my degree,Man,Hispanic,18 and younger,"CCM Web site, Social Media","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (High Impact), Family/friend referral (Some Impact), College reputation (High Impact), Financial Aid (High Impact), Small class sizes (Some Impact), Ability to transfer CCM credits to a 4-year school (High Impact)","Open House (Yes), Instant Decision Day (Yes), On-Campus Information Session (Yes), HS Sharetime Information Session (Yes), Information Session at my high school (Yes), Campus Visit (individual) (Yes)",
2024/09/10 3:09:36 PM AST,Computing,Liberal Arts,first choice,4.0,It is beneficial to everyday life and good skill to have,It is beneficial to everyday life and good skill to have,Man,Caucasian,19-20,"Family member or friend, Current CCM student, CCM Alumni, High School Teacher, High School Counselor","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (Some Impact), Online offerings (Some Impact), Family/friend referral (High Impact), Faculty/staff (Some Impact), College reputation (High Impact), Financial Aid (High Impact), Ability to transfer CCM credits to a 4-year school (Some Impact)","Information Session at my high school (Yes), Campus Visit (individual) (Yes)",High school teacher or guidance counselor (Some Impact)
2024/09/10 3:11:07 PM AST,Computing,Engineering,first choice,5.0,Strengthen my skills,Strengthen my skills,Man,Afro-american,35-64,"CCM Web site, Current CCM student",Online offerings (Some Impact),Campus Visit (individual) (Yes),
2024/09/10 7:18:04 PM AST,Computing,Non Degree seeking,first choice,2.0,I am only taking classes at ccm that will give me credit at the University of Miami. I'm taking these classes as STEM credits because I need a STEM credits at miami.,I am only taking classes at ccm that will give me credit at the University of Miami. I'm taking these classes as STEM credits because I need a STEM credits at miami.,Man,Caucasian,18 and younger,High School Counselor,"Ability to transfer CCM credits to a 4-year school (High Impact), Get college credit while in high school (High Impact)",On-Campus Information Session (Yes),A dual enrollment computing class (High Impact)
2024/09/10 7:18:59 PM AST,Computing,Non Degree seeking,first choice,3.0,Computing is a great class just not something I would like to peruse as a career.,Computing is a great class just not something I would like to peruse as a career.,Woman,Hispanic,19-20,"CCM Web site, Family member or friend","Affordable cost (High Impact), Location/convenience (High Impact), Choice of programs (High Impact), Online offerings (High Impact), Family/friend referral (High Impact), College reputation (Some Impact), Financial Aid (High Impact), Small class sizes (High Impact), Accepted my transfer credits (High Impact), Negative experience at another college (High Impact), Ability to transfer CCM credits to a 4-year school (High Impact)",,"Middle/High school computing class (Some Impact), An AP computing class (Some Impact)"
2024/09/10 7:20:25 PM AST,Computing,Engineering,first choice,4.0,"It’s something I’m not very familiar with, but I would definitely want to learn more ","It’s something I’m not very familiar with, but I would definitely want to learn more ",Man,Hispanic,25-34,"CCM Web site, Family member or friend, Current CCM student, High School Teacher, High School Counselor","Affordable cost (Some Impact), Location/convenience (High Impact), Choice of programs (High Impact), Online offerings (Some Impact), Family/friend referral (Some Impact), Faculty/staff (High Impact), College reputation (Some Impact), Financial Aid (High Impact), Scholarships (Some Impact), Small class sizes (High Impact), Extra-curricular opportunities (Some Impact), Ability to transfer CCM credits to a 4-year school (High Impact)",,"Middle/High school computing class (Some Impact), Middle/High school computing related club (Some Impact), Computing-related competitions (e.g., Robotics competition, Lego competition, Cybersecurity, Programming) (Some Impact), Afterschool computing-related camp/program (Some Impact)"
2024/09/11 2:07:35 PM AST,Computing,cybersecurity,first choice,5.0,I think its extremely interested,I think its extremely interested,Man,Hispanic,18 and younger,Other,,"Open House (Yes), On-Campus Information Session (Not Sure), Women Who Dare (Yes), HS Sharetime Information Session (Not Sure), CyberSecurity Information Protection Program Participation (Yes), Campus Visit with my high school (Not Sure)","Middle/High school computing related club (Some Impact), Summer computing related camp/program (Some Impact), An AP computing class (Some Impact), A dual enrollment computing class (Some Impact), Family or friend influence (Some Impact), Family or friend working in the computing field (Some Impact), Employer influence (High Impact), Current CCM student (Some Impact), Experience at work (Some Impact), Other (High Impact)"
2024/09/11 2:08:24 PM AST,Computing,cybersecurity,first choice,4.0,Because I need to take more classes.,Because I need to take more classes.,Woman,Hispanic,18 and younger,"High School Teacher, High School Counselor","Location/convenience (High Impact), Scholarships (High Impact), Get college credit while in high school (High Impact)",CyberSecurity Information Protection Program Participation (Yes),"An AP computing class (High Impact), High school teacher or guidance counselor (High Impact)"
